,smiles,compound_set,inchi,outcome
0,NC(=O)C1CCCN(C(=O)Cc2[nH]ncc2CC(=O)NC2CC2)C1,X0926 and x1346,OUZJAERXRYTSSC-UHFFFAOYSA-N,place-fail
1,O=C(Cc1cn[nH]c1CC(=O)N1CCCC(C(F)(F)F)C1)NC1CC1,X0926 and x1346,QGMUJYUUQHRYMH-UHFFFAOYSA-N,place-fail
2,O=C(Cc1cn[nH]c1CC(=O)N1CCCC(C(F)(F)F)C1)NC1CC1,X0926 and x1347and x1019,QGMUJYUUQHRYMH-UHFFFAOYSA-N,place-fail
3,CC(=O)Nc1ccccc1CCS(N)(=O)=O,x0487 P2 extension,RCQABPSABHETPA-UHFFFAOYSA-N,not-found
4,CC(=O)Nc1c(CCS(=O)(=O)Cc2ccccc2)cnnc1F,x0487 P2 extension,OIKGITNDONYCGO-UHFFFAOYSA-N,place-fail
5,CC(=O)Nc1c(CCS(=O)(=O)Cc2ccccc2)cnnc1C,x0487 P2 extension,NHMZCBSXKMEJPX-UHFFFAOYSA-N,place-fail
6,CC(=O)Nc1c(C(C)CS(=O)(=O)Cc2ccccc2)cnnc1C,x0487 P2 extension,JLIOJHVBOJMQIF-UHFFFAOYSA-N,place-fail
7,CC(=O)Nc1c(CCS(=O)(=O)CC2CCCC2)cnnc1F,x0487 P2 extension,YNGHFNAFDPLNPO-UHFFFAOYSA-N,place-fail
8,CC(=O)Nc1c(CCS(=O)(=O)CNC2CCCC2)cnnc1F,x0487 P2 extension,KJFMHANYSPMOLY-UHFFFAOYSA-N,place-fail
9,CC(=O)Nc1c(C)cncc1CCS(=O)(=O)CNC1CCCC1,x0487 P2 extension,SPDPMZFAIDCEMQ-UHFFFAOYSA-N,place-fail
10,CC(=O)Nc1c(C(C)CS(=O)(=O)CNC2CCCC2)cnnc1F,x0487 P2 extension,ZZZRMRBVIAKRQS-UHFFFAOYSA-N,place-fail
11,N#CCC(=O)Nc1c(F)cncc1CCS(N)(=O)=O,x0487 P2 extension,KNJJQPLIBGXAOK-UHFFFAOYSA-N,not-found
12,CC(CS(N)(=O)=O)c1cncc(F)c1NC(=O)CC#N,x0487 P2 extension,AKFVJEZWTIKHMN-UHFFFAOYSA-N,place-fail
13,CC(=O)Nc1c(CCS(=O)(=O)NCC2CCCC2)cnnc1F,x0487 P2 extension,IYOGHWZXFXYOQU-UHFFFAOYSA-N,place-fail
14,CC(=O)Nc1c(C(C)CS(=O)(=O)NCC2CCCC2)cnnc1F,x0487 P2 extension,DWYTUPBMKQNMSK-UHFFFAOYSA-N,place-fail
15,CC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1,knitwork_june_2024,PYJAQWOJPPUYGG-UHFFFAOYSA-N,place-fail
16,COc1cccc(CNc2ccc(NC(C)=O)cn2)c1,knitwork_june_2024,BRGVKEGCIHEPPP-UHFFFAOYSA-N,place-fail
17,CC(=O)Nc1ccc(NCc2ccc(C)cc2F)nc1,knitwork_june_2024,STENHMKKTIKNSL-UHFFFAOYSA-N,place-fail
18,CC(=O)Nc1ccc(NCc2cccc(C(C)C)c2)nc1,knitwork_june_2024,YOLKTWJVPVNAFB-UHFFFAOYSA-N,place-fail
19,O=C1NCCC1C(=O)N1CCCC(NCc2ccccc2)C1,knitwork_june_2024,HOWRLYKLFLMWBY-UHFFFAOYSA-N,not-found
20,O=C1NCCN1c1ccc(NCc2ccc(C(F)(F)F)cc2)cc1,knitwork_june_2024,ZGAPODHVEGIIKR-UHFFFAOYSA-N,not-found
21,O=C1NCCN1c1ccc(NCc2cccc(F)c2)cc1,knitwork_june_2024,KKHICEOOLIHEJQ-UHFFFAOYSA-N,not-found
22,Cc1ncc(C(=O)N(C)C2CN(C3CCNC3=O)C2)s1,knitwork_june_2024,VLACOELDXIUEQB-UHFFFAOYSA-N,not-found
23,CCC(C)CC(=O)Nc1ccc(C(=O)N(C)C)cc1,knitwork_june_2024,BOAMHCYETLQJMX-UHFFFAOYSA-N,not-found
