smiles,template,hits,compound_set,short_hits
N#CCC(=O)Nc1ccc(C(N)=O)nc1,Ax0310a,A71EV2A-x0310_A_147_1_A71EV2A-x0526+A+147+1 A71EV2A-x0556_A_147_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0310a Ax0556a
CC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+1 A71EV2A-x0310_A_147_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0365a Ax0310a
COc1cccc(CNc2ccc(NC(C)=O)cn2)c1,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+1 A71EV2A-x0310_A_147_1_A71EV2A-x0526+A+147+2,knitwork_june_2024,Ax0365a Ax0310a
CC(=O)Nc1ccc(NCc2ccc(C)cc2F)nc1,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+1 A71EV2A-x0310_A_147_1_A71EV2A-x0526+A+147+3,knitwork_june_2024,Ax0365a Ax0310a
CC(=O)Nc1ccc(NCc2cccc(C(C)C)c2)nc1,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+1 A71EV2A-x0310_A_147_1_A71EV2A-x0526+A+147+4,knitwork_june_2024,Ax0365a Ax0310a
Cn1nc(C2CCCOC2)cc1NC(=O)CC#N,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+1 A71EV2A-x0310_A_147_1_A71EV2A-x0526+A+147+5,knitwork_june_2024,Ax0365a Ax0310a
CC(=O)Nc1ccc(NCc2cc(F)ccc2C)nc1,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+1 A71EV2A-x0310_A_147_1_A71EV2A-x0526+A+147+6,knitwork_june_2024,Ax0365a Ax0310a
CC(=O)Nc1ccc(NCc2ccccc2C2CC2)nc1,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+1 A71EV2A-x0310_A_147_1_A71EV2A-x0526+A+147+7,knitwork_june_2024,Ax0365a Ax0310a
CC(=O)Nc1ccc(NCc2c(C)cccc2F)nc1,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+1 A71EV2A-x0310_A_147_1_A71EV2A-x0526+A+147+8,knitwork_june_2024,Ax0365a Ax0310a
Cn1ccc2ccc(NCc3ccccc3)cc21,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+9 A71EV2A-x0451_A_201_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0365a Ax0451a
Cc1ccc(CNc2ccc(N3CCNC(=O)C3)cn2)cc1C,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+10 A71EV2A-x0528_A_147_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0365a Ax0528a
O=C1NCCC1C(=O)N1CCCC(NCc2ccccc2)C1,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+10 A71EV2A-x0528_A_147_1_A71EV2A-x0526+A+147+2,knitwork_june_2024,Ax0365a Ax0528a
O=C1NCCN1c1ccc(NCc2ccc(C(F)(F)F)cc2)cc1,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+10 A71EV2A-x0528_A_147_1_A71EV2A-x0526+A+147+3,knitwork_june_2024,Ax0365a Ax0528a
O=C1NCCN1c1ccc(NCc2cccc(F)c2)cc1,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+10 A71EV2A-x0528_A_147_1_A71EV2A-x0526+A+147+4,knitwork_june_2024,Ax0365a Ax0528a
CSc1cccc(CNc2ccc(N3CCNC(=O)C3)cn2)c1,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+10 A71EV2A-x0528_A_147_1_A71EV2A-x0526+A+147+5,knitwork_june_2024,Ax0365a Ax0528a
Cn1nc(C2CCOCC2)cc1C(=O)OCC1CNC(=O)C1,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+10 A71EV2A-x0528_A_147_1_A71EV2A-x0526+A+147+6,knitwork_june_2024,Ax0365a Ax0528a
NCc1ccc(C(=O)Nc2c[nH]c3ccccc23)cc1,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+16 A71EV2A-x0566_A_147_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0365a Ax0566a
Cc1ncc(C(=O)N(C)C2CN(C3CCNC3=O)C2)s1,Ax0310a,A71EV2A-x0446_A_147_1_A71EV2A-x0526+A+147+1 A71EV2A-x0528_A_147_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0446a Ax0528a
CCC(C)CC(=O)Nc1ccc(C(=O)N(C)C)cc1,Ax0310a,A71EV2A-x0450_A_201_1_A71EV2A-x0526+A+147+1 A71EV2A-x0310_A_147_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0450a Ax0310a
CN(C)C(=O)c1ccc(NC(=O)CC(C)(C)C(F)(F)F)c(F)c1,Ax0310a,A71EV2A-x0450_A_201_1_A71EV2A-x0526+A+147+1 A71EV2A-x0310_A_147_1_A71EV2A-x0526+A+147+2,knitwork_june_2024,Ax0450a Ax0310a
COc1cncc(CCC(=O)NC2CCNC2=O)c1,Ax0310a,A71EV2A-x0515_A_201_1_A71EV2A-x0526+A+147+1 A71EV2A-x0528_A_147_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0515a Ax0528a
O=C(OCC1CCCNC1=O)c1ccncc1F,Ax0310a,A71EV2A-x0515_A_201_1_A71EV2A-x0526+A+147+2 A71EV2A-x0528_A_147_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0515a Ax0528a
CN1CCC(c2nc(-c3ccncc3)no2)C1=O,Ax0310a,A71EV2A-x0528_A_147_1_A71EV2A-x0526+A+147+1 A71EV2A-x0515_A_201_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0528a Ax0515a
