smiles,hits,template,compound_set,,short_hits
NC(=O)C1CCCN(C(=O)c2ccc(Cl)c(C(=O)CN3CCCC3)c2)C1,A71EV2A-x0926_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1140_A_147_1_A71EV2A-x0526+A+147+1 ,Ax0926a,x0926 merge into p1’,,Ax0926a Ax1140a
NC(=O)C1CCCN(C(=O)c2cccc(O)c2C(=O)NC2CC2)C1,A71EV2A-x0926_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1292_A_151_1_A71EV2A-x0526+A+147+1,Ax0926a,x0926 going down p1,,Ax0926a Ax1292a
NC(=O)C1CCCN(C(=O)c2cccc(O)c2C(=O)NCc2ccccc2)C1,A71EV2A-x0926_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x0836_A_301_1_A71EV2A-x0526+A+147+1,Ax0926a,x0926 going down p1,,Ax0926a Ax0836a
C[n+]1ccc(C(=O)N2CCCC(C(N)=O)C2Cl)[nH]1,A71EV2A-x0926_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax0926a,X0926 and x1346,,Ax0926a Ax1346a
NC(=O)C1CCCN(C(=O)Cc2[nH]ncc2CC(=O)NC2CC2)C1,A71EV2A-x0926_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,Ax0926a,X0926 and x1346,,Ax0926a Ax1346a
O=C(Cc1cn[nH]c1CC(=O)N1CCCC(C(F)(F)F)C1)NC1CC1,A71EV2A-x0926_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+2,Ax0926a,X0926 and x1346,,Ax0926a Ax1346a
O=C(Cc1cn[nH]c1CC(=O)N1CCCC(C(F)(F)F)C1)NC1CC1,A71EV2A-x0926_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+3 A71EV2A-x1019_A_147_1_A71EV2A-x0526+A+147+1,Ax0926a,X0926 and x1347and x1019,,Ax0926a Ax1346a Ax1019a
CC(=O)Nc1ccccc1CCS(N)(=O)=O,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x0719_A_301_1_A71EV2A-x0526+A+147+1,Ax0487a,x0487 P2 extension,,Ax0487a Ax0719a
CC(=O)Nc1c(F)cncc1CCS(N)(=O)=O,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x0719_A_301_1_A71EV2A-x0526+A+147+2,Ax0487a,x0487 P2 extension,,Ax0487a Ax0719a
CC(=O)Nc1c(F)cncc1C(C)CS(N)(=O)=O,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x0719_A_301_1_A71EV2A-x0526+A+147+3,Ax0487a,x0487 P2 extension,,Ax0487a Ax0719a
