smiles,template,hits,compound_set
CCOc1ccc(C(=O)CC)cc1,x1775a,A71EV2A-x1775_A_201_1_A71EV2A-x0526+A+147+1,covalent_analogues_aug_2024
CCC(=O)c1ccc(NC(C)=O)cc1,x1776a,A71EV2A-x1776_A_201_1_A71EV2A-x0526+A+147+1,covalent_analogues_aug_2024
CCOc1ccc(C(=O)CCl)cc1,x1775a,A71EV2A-x1775_A_201_1_A71EV2A-x0526+A+147+1,covalent_analogues_aug_2024
CC(=O)Nc1ccc(C(=O)CCl)cc1,x1776a,A71EV2A-x1776_A_201_1_A71EV2A-x0526+A+147+1,covalent_analogues_aug_2024
CC(=O)N1CCc2cc(C(=O)CCl)ccc21,x1778a,A71EV2A-x1778_A_201_1_A71EV2A-x0526+A+147+1,covalent_analogues_aug_2024
CCC(=O)c1ccc2c(c1)CCN2C(C)=O,x1778a,A71EV2A-x1778_A_201_1_A71EV2A-x0526+A+147+1,covalent_analogues_aug_2024
CCC(=O)c1ccc2c(c1)NC(=O)CO2,x1779a,A71EV2A-x1779_A_201_1_A71EV2A-x0526+A+147+1,covalent_analogues_aug_2024
O=C1COc2ccc(C(=O)CCl)cc2N1,x1779a,A71EV2A-x1779_A_201_1_A71EV2A-x0526+A+147+1,covalent_analogues_aug_2024
CCOc1ccc(C(C)=O)cc1,x1775a,A71EV2A-x1775_A_201_1_A71EV2A-x0526+A+147+1,covalent_analogues_aug_2024
CCOc1ccc(C=O)cc1,x1775a,A71EV2A-x1775_A_201_1_A71EV2A-x0526+A+147+1,covalent_analogues_aug_2024
CC(=O)Nc1ccc(C(C)=O)cc1,x1776a,A71EV2A-x1776_A_201_1_A71EV2A-x0526+A+147+1,covalent_analogues_aug_2024
CC(=O)Nc1ccc(C=O)cc1,x1776a,A71EV2A-x1776_A_201_1_A71EV2A-x0526+A+147+1,covalent_analogues_aug_2024
CC(=O)c1ccc2c(c1)CCN2C(C)=O,x1778a,A71EV2A-x1778_A_201_1_A71EV2A-x0526+A+147+1,covalent_analogues_aug_2024
CC(=O)N1CCc2cc(C=O)ccc21,x1778a,A71EV2A-x1778_A_201_1_A71EV2A-x0526+A+147+1,covalent_analogues_aug_2024
CC(=O)c1ccc2c(c1)NC(=O)CO2,x1779a,A71EV2A-x1779_A_201_1_A71EV2A-x0526+A+147+1,covalent_analogues_aug_2024
O=Cc1ccc2c(c1)NC(=O)CO2,x1779a,A71EV2A-x1779_A_201_1_A71EV2A-x0526+A+147+1,covalent_analogues_aug_2024
